,index,year_range,population,gdp,cement_co2,co2,coal_co2,consumption_co2,flaring_co2,gas_co2,land_use_change_co2,methane,nitrous_oxide,oil_co2,other_industry_co2,total_ghg,trade_co2
25,49450,1900-1909,,,0.004,2437.062,2320.889,,,17.17,4826.743,2034.703,325.519,97.02,1.98,9621.013,
26,49451,1900-1909,,,0.004,2544.486,2425.438,,,19.027,4837.304,2067.409,329.71,97.889,2.127,9775.443,
27,49452,1900-1909,,,0.005,2900.325,2758.966,,,19.877,4748.535,2118.702,333.859,119.423,2.054,10097.672,
28,49453,1900-1909,,,0.115,2785.687,2635.269,,,19.676,4838.834,2118.948,337.867,128.793,1.834,10077.375,
29,49454,1900-1909,,,0.116,2901.167,2740.81,,,23.523,4946.189,2148.498,341.636,134.372,2.347,10333.53,
30,49455,1910-1919,1800219392.0,,0.135,3043.326,2871.822,,,24.915,4746.886,2176.726,345.066,144.106,2.347,10307.978,
31,49456,1910-1919,,,0.148,3090.098,2909.129,,,25.718,4826.761,2199.404,349.023,152.83,2.274,10461.305,
32,49457,1910-1919,,,0.177,3246.477,3058.458,,,28.315,4686.201,2224.509,354.256,157.18,2.347,10507.465,
33,49458,1910-1919,,,0.203,3516.533,3302.332,,,29.598,4514.552,2267.473,360.489,181.98,2.421,10655.274,
34,49459,1910-1919,,,0.147,3189.786,2971.208,,,30.136,4596.406,2242.105,367.449,186.022,2.274,10391.972,
35,49460,1910-1919,,,0.16,3140.277,2908.253,,,31.866,4571.143,2252.618,374.86,197.577,2.421,10335.395,
36,49461,1910-1919,,,0.181,3391.973,3135.491,,,38.377,4522.658,2295.839,382.447,215.21,2.714,10589.467,
37,49462,1910-1919,,,0.148,3548.138,3265.608,,,40.509,4545.375,2328.251,389.937,239.379,2.494,10808.521,
38,49463,1910-1919,,,0.12,3499.686,3215.893,,,36.519,4548.49,2320.674,397.053,245.028,2.127,10762.877,
39,49464,1910-1919,,,0.125,3033.839,2720.154,,,37.948,4481.264,2289.851,403.522,273.412,2.201,10205.527,
40,49465,1920-1929,1927857152.0,4824948539392.0,0.149,3537.837,3132.615,,,41.685,4603.523,2355.94,409.068,361.04,2.347,10903.477,
41,49466,1920-1929,,,0.13,3106.184,2672.102,,,34.992,4838.954,2312.732,414.325,397.273,1.687,10669.232,
